2024-07-01 18:59:34,834 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:34,854 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:34,876 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:34,884 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:34,898 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:34,898 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:34,898 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:34,958 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,023 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,089 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,090 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,151 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,182 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,183 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,183 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,183 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,214 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,216 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,314 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,315 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,375 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,375 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,375 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,376 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,376 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,376 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,409 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,409 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,409 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,411 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,412 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,413 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,413 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,487 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,557 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,619 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,685 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,750 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,815 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,872 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,939 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:35,998 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,059 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,118 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,176 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,233 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,289 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,347 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,401 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,459 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,514 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,583 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,652 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,722 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,792 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,861 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:36,932 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,016 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,080 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,135 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,191 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,245 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,299 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,352 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,411 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,468 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,522 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,581 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,637 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,692 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,740 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,782 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,828 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,870 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,915 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:37,957 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:38,001 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:38,048 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:38,090 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:38,135 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:38,179 - State: [0, 0, 0, 0], Action: 1, Reward: 0, Next State: [0, 0, 0, 0]
2024-07-01 18:59:38,224 - State: [0, 0, 0, 0], Action: 0, Reward: 0, Next State: [0, 0, 0, 0]
